date,body_group,exercise_name,weight,sets,reps,special_modifier_string
4/30/2022,Legs,Good Morn,185,3,5,
5/4/2022,Legs,Leg Raises,30,3,16,
5/4/2022,Legs,Leg Press,315,3,12,
5/17/2022,Legs,Deadlift,225,3,6,
5/23/2022,Legs,Leg Curls,30,3,20,
5/23/2022,Legs,Leg Raises,30,3,20,
5/23/2022,Legs,Leg Press,405,3,8,
6/7/2022,Legs,Hex,225,3,8,
6/28/2022,Legs,Deadlift,225,2,8,
6/28/2022,Legs,Leg Curls,30,3,12,
6/28/2022,Legs,Leg Raises,30,3,12,
6/28/2022,Legs,Leg Press,225,3,15,
7/15/2022,Legs,Squat,225,3,1,
7/16/2022,Legs,Walk Lunge,25,2,10,
7/16/2022,Legs,BB RDL,45,3,12,
7/19/2022,Legs,Hex,275,3,3,
7/26/2022,Legs,Hex,315,1,5,
7/26/2022,Legs,Leg Curls,30,3,12,
8/2/2022,Legs,Hex,315,3,5,
8/13/2022,Legs,Hex,320,3,5,
8/13/2022,Legs,Leg Curls,30,3,15,
8/16/2022,Legs,Squat,225,2,2,
8/24/2022,Legs,Hex,325,3,5,
9/1/2022,Legs,Hex,330,3,5,
9/13/2022,Legs,Hex,335,3,5,
9/17/2022,Legs,Squat,225,3,2,
9/20/2022,Legs,Deadlift,315,3,3,
9/28/2022,Legs,Hex,340,1,5,
10/4/2022,Legs,Hex,340,3,5,
10/4/2022,Legs,Leg Curls,40,3,10,
10/18/2022,Legs,Hex,385,1,1,
10/18/2022,Legs,Leg Curls,45,3,10,
10/25/2022,Legs,Hex,325,3,5,
10/25/2022,Legs,Leg Press,225,4,10,
10/29/2022,Legs,Squat,225,3,2,
10/29/2022,Legs,Leg Press,315,5,5,
10/29/2022,Legs,Walk Lunge,30,3,8,
11/2/2022,Legs,Hex,315,3,10,
11/2/2022,Legs,Leg Curls,45,3,10,
11/2/2022,Legs,Leg Press,315,5,6,
11/5/2022,Legs,Squat,225,3,3,
11/5/2022,Legs,Hex,225,3,10,
11/13/2022,Legs,Squat,225,3,2,
11/18/2022,Legs,Hex,315,3,5,
11/18/2022,Legs,Good Morn,135,1,5,
11/20/2022,Legs,Walk Lunge,35,3,8,
11/25/2022,Legs,Deadlift,270,3,5,
11/25/2022,Legs,Leg Raises,35,3,15,
11/30/2022,Legs,ATG Squat,95,3,5,
12/11/2022,Legs,Deadlift,225,3,10,
12/11/2022,Legs,Leg Curls,50,3,10,
12/15/2022,Legs,Leg Curls,50,3,10,
12/15/2022,Legs,Leg Raises,60,3,10,
12/19/2022,Legs,Leg Raises,65,3,10,
12/23/2022,Legs,Squat,210,3,8,
12/23/2022,Legs,Leg Curls,30p,3,10,
12/26/2022,Legs,Hex,305,3,6,
12/26/2022,Legs,Leg Curls,35p,3,10,
12/27/2022,Legs,Leg Press,315,3,8,
1/10/2023,Legs,Squat,225,1,3,
1/13/2022,Legs,Leg Curls,55p,3,5,
1/17/2023,Legs,Walk Lunge,40,3,6,
1/21/2023,Legs,Leg Curls,40p,3,10,
1/21/2023,Legs,F Squat,135,5,5,
1/27/2023,Legs,Leg Curls,60,3,5,
1/29/2023,Legs,Leg Raises,80,3,8,
2/5/2023,Legs,Hex,275,3,3,
2/10/2023,Legs,Leg Curls,60,3,6,
2/10/2023,Legs,Leg Raises,80,3,10,
2/16/2023,Legs,Hex,315,3,5,
2/23/2023,Legs,Leg Raises,50,3,14,
2/23/2023,Legs,P-Leg Curl,25,5,5,
2/26/2023,Legs,Leg Press,405,3,8,
3/16/2023,Legs,Leg Curls,60,3,6,
3/16/2023,Legs,Leg Raises,85,3,8,
3/21/2023,Legs,Leg Press,405,3,10,
3/24/2023,Legs,Squat,135,3,8,
